,0,1,2,3
Aqua,0.7070324420928955,0.31537872552871704,0.8270798325538635,0.4761791229248047
Beige,0.4193818271160126,0.43385395407676697,0.6380335688591003,0.5548046827316284
Beige,0.44048646092414856,0.12053213268518448,0.6730438470840454,0.24639959633350372
Aqua,0.728267252445221,0.6008937358856201,0.9539057612419128,0.8257400393486023
Aqua,0.7080593109130859,0.07996898144483566,0.768120527267456,0.16748599708080292
Chartreuse,0.37420111894607544,0.507465124130249,0.8933827877044678,0.7059862017631531
Beige,0.4312192499637604,0.2682304382324219,0.6681886315345764,0.3821616768836975
Beige,0.42657673358917236,0.5353807210922241,0.6287527084350586,0.5987198352813721
Chartreuse,0.20166204869747162,0.27652162313461304,0.5756286978721619,0.3999525010585785
Aqua,0.711246132850647,0.7908624410629272,1.0,0.9999999403953552
Aqua,0.8471108675003052,0.3372687101364136,0.9985255002975464,0.5399850606918335
Chartreuse,0.21957507729530334,0.4182208478450775,0.5693653225898743,0.5325408577919006
